Country,Region,Year,Overall_Score,Property_Rights,Government_Integrity,Judicial_Effectiveness,Tax_Burden,Government_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom
Egypt,Middle East/North Africa,2024,49.7,40,26.2,21.9,85.4,80.8,11.8,48.9,32.8,72.9,60.2,65,50
El Salvador,Americas,2024,54.4,41.6,33.6,14.4,76.6,71.7,42.8,62.5,54.8,64.9,70,60,60
Equatorial Guinea,Sub-Saharan Africa,2024,47.7,21,5.7,8.3,75.1,92.9,97.6,33.3,46.4,72.8,48.8,40,30
Eritrea,Sub-Saharan Africa,2024,39.5,8.3,15,4.6,80.3,62.3,69,30.7,51.4,63.8,68.4,0,20
Estonia,Europe,2024,77.8,92.8,81.2,93.4,80.8,46.8,85.4,83.2,64.2,66.2,79.2,90,70
Eswatini,Sub-Saharan Africa,2024,55.6,44.9,29.9,36.4,78.3,72.6,63.6,46.4,54.8,76.6,73.6,50,40
Ethiopia,Sub-Saharan Africa,2024,47.9,27.7,33.8,20.6,78.4,94.4,79,44.1,39.3,49.8,57.4,30,20
Fiji,Asia-Pacific,2024,58,59.9,52.5,46.2,89.7,67,3.4,64.9,69.1,73.8,64.4,55,50
Finland,Europe,2024,76.3,100,94.2,97.6,67.8,8.2,74.3,88.8,65.5,75.4,79.2,85,80
France,Europe,2024,62.5,93.1,73.7,84.2,53.1,0,6.9,82,60.5,71.6,79.2,75,70
Gabon,Sub-Saharan Africa,2024,56.9,26.7,23.7,19.4,77.4,90.8,92.5,63.5,54.8,78.6,55.2,60,40
The Gambia,Sub-Saharan Africa,2024,58.2,55.3,36.2,45.4,79.3,84.3,62.5,49,47.6,60,64.4,65,50
Georgia,Europe,2024,68.4,53.3,61.1,54.8,89.1,69.6,39.9,74.4,63,69.3,86.4,80,80
Germany,Europe,2024,72.1,95.3,86,93,59.3,24.1,71.9,84.2,53.7,68.8,79.2,80,70
Ghana,Sub-Saharan Africa,2024,55.8,50.1,43.9,57.3,79.5,75.5,2.9,52.9,55.7,58.6,63,70,60
Greece,Europe,2024,55.1,76.9,55.2,69.9,60.6,3.4,5.6,73.9,62.8,68.9,79.2,55,50
Guatemala,Americas,2024,62.4,38.8,22.8,27.9,91.3,93.7,87.5,66.4,50.4,74.6,75,70,50
Guinea,Sub-Saharan Africa,2024,53.3,21.7,23.9,26.7,70.1,92.7,92.2,44.9,48.8,69,59.4,50,40
Guinea-Bissau,Sub-Saharan Africa,2024,42.7,26.5,19.3,14.7,88.9,83.1,7.1,32.4,55,74.2,50.6,30,30
Guyana,Americas,2024,57.3,46.8,39.2,48.3,74.9,80.2,25.8,70.9,76.7,75.5,64.4,55,30
Haiti,Americas,2024,48.2,12,12.5,17.5,81.7,97.5,89.9,32.4,55.1,53.8,66.4,30,30
Honduras,Americas,2024,58.6,37.5,21.3,27.7,83,78.6,88.8,64.5,38.7,67.7,70.4,65,60
Hungary,Europe,2024,61.2,69.6,44.3,63,85.4,27.7,11.5,73.5,62,68.8,79.2,80,70
Iceland,Europe,2024,70.5,96.5,83.7,95.3,73.6,26.3,10.5,87.4,68,73.4,80.8,80,70
India,Asia-Pacific,2024,52.9,49.2,40.8,52.1,73.7,73.5,6.9,68.3,58.4,69.1,62.2,40,40
Indonesia,Asia-Pacific,2024,63.5,39.2,38.6,44.5,81.7,90.2,66.8,73.1,59.5,78.4,79.6,50,60
Iran,Middle East/North Africa,2024,41.2,23.8,17.1,18.8,81.1,95.3,62.5,37.9,48.8,38.2,55.8,5,10
Iraq,Middle East/North Africa,2024,,14.8,18.3,7.3,,,,,,,,,
Ireland,Europe,2024,82.6,93.5,83.4,94.3,78,82.4,91.7,91.3,62.8,74.5,79.2,90,70
Israel,Middle East/North Africa,2024,70.1,82.1,65.5,84.4,59.3,50.7,58.6,80.8,58,78.4,83,70,70
Italy,Europe,2024,60.1,81.6,60.7,77.7,57,2.5,0,77.6,70.7,74.1,79.2,80,60
